Adjustment to calibration - needs to be read in after the main calibration XML file,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
1003,,,,,,,,,,,,,,,
,,,,,calibrated-value,,,former cal values,,cement energy (to subtract),,unconv oil energy to subtract,,,
Southeast Asia,industrial energy use,biomass,biomass,delivered biomass,0.986289537,1.297445511,,0.989587861,1.30375696,0.003298324,0.006311448,0,0,,11
Southeast Asia,industrial energy use,coal,coal,delivered coal,0.161861537,0.787872201,,0.432324108,1.305410946,0.270462571,0.517538745,0,0,,11
Southeast Asia,industrial energy use,electricity,electricity,elect_td_ind,0.449348577,1.072790706,,0.48455654,1.137411859,0.035207963,0.064621153,0,0,,11
Southeast Asia,industrial energy use,gas,gas,wholesale gas,0.717277011,1.759805373,,0.743663603,1.810296958,0.026386592,0.050491585,0,0,,11
Southeast Asia,industrial energy use,refined liquids,refined liquids,refined liquids industrial,1.153730851,1.558807725,,1.183415767,1.615610758,0.029684916,0.056803033,0,0,,11
Eastern Europe,industrial energy use,biomass,biomass,delivered biomass,0.048878186,0.118379447,,0.050679947,0.120141788,0.001801761,0.001762342,0,0,,12
Eastern Europe,industrial energy use,coal,coal,delivered coal,1.6210052,0.736265052,,1.633617525,0.748601445,0.012612325,0.012336393,0,0,,12
Eastern Europe,industrial energy use,electricity,electricity,elect_td_ind,0.757882177,0.657744434,,0.778349459,0.677042759,0.020467282,0.019298325,0,0,,12
Eastern Europe,industrial energy use,gas,gas,wholesale gas,1.294987008,0.541962769,,1.417506739,0.661802015,0.122519731,0.119839245,0,0,,12
Eastern Europe,industrial energy use,refined liquids,refined liquids,refined liquids industrial,0.784275742,0.423445203,,0.827518,0.465741407,0.043242258,0.042296204,0,0,,12
Korea,industrial energy use,biomass,biomass,delivered biomass,0.0001,0.050996431,,0.011425777,0.067981204,0.013017576,0.016984773,0,0,,13
Korea,industrial energy use,coal,coal,delivered coal,0.366039613,0.338928279,,0.491876179,0.503114418,0.125836566,0.164186139,0,0,,13
Korea,industrial energy use,electricity,electricity,elect_td_ind,0.199356585,0.66605415,,0.213294131,0.68735988,0.013937545,0.021305729,0,0,,13
Korea,industrial energy use,gas,gas,wholesale gas,0.004161679,0.223071076,,0.004161679,0.223071076,0,0,0,0,,13
Korea,industrial energy use,refined liquids,refined liquids,refined liquids industrial,0.495797238,0.368197053,,0.501582827,0.375745841,0.005785589,0.007548788,0,0,,13
India,industrial energy use,biomass,biomass,delivered biomass,0,1.134748742,,0,1.142527478,0.004657084,0.007778736,0,0,,14
India,industrial energy use,coal,coal,delivered coal,1.301083165,1.439379463,,1.52462322,1.812758796,0.223540055,0.373379333,0,0,,14
India,industrial energy use,electricity,electricity,elect_td_ind,0.533935898,1.049576941,,0.557572756,1.096609463,0.023636857,0.047032522,0,0,,14
India,industrial energy use,gas,gas,wholesale gas,0.041197431,0.301784713,,0.043525973,0.305674081,0.002328542,0.003889368,0,0,,14
India,industrial energy use,refined liquids,refined liquids,refined liquids industrial,0.454262932,1.042798072,,0.456591474,1.04668744,0.002328542,0.003889368,0,0,,14
Former Soviet Union,industrial energy use,district heat,district heat,district heat,5.513559533,3.072723514,,5.513559533,3.072723514,0,0,0,0,,6
China,industrial energy use,district heat,district heat,district heat,0.532964489,1.854660806,,0.532964489,1.854660806,0,0,0,0,,7
Eastern Europe,industrial energy use,district heat,district heat,district heat,0.610756076,0.25002466,,0.610756076,0.25002466,0,0,0,0,,12
