# File:IBNET_municipal_water_cost_USDm3.csv
# Title: The International Benchmarking Network for Water and Sanitation Utilities (IBNET) 
# Units: Average Revenue W&WW (US$/m3 water sold), GDPPC ($), Total Water Consumption (l/person/day)
# Comments: missing data for Japan and Taiwan are filled in from municipal.water.demand.32.csv. Note some country names were changed to match FAO
#Source: http://www.ib-net.org/en/production/?
# Column types: icnnn 
# ----------
year,country,cost,GDPPC,consumption
2003,Pakistan,0.06,561,130
2004,Pakistan,0.08,644,127
2005,Pakistan,0.07,704,115
2006,Pakistan,0.17,801,97
2002,Panama,0.29,"4,006",296
2003,Panama,0.26,"4,146",330
2004,Panama,0.27,"4,465",347
2005,Panama,0.26,"4,785",390
2006,Panama,0.25,"5,213",335
2002,Paraguay,0.69,906,169
2003,Paraguay,0.86,977,130
2004,Paraguay,0.37,"1,200",242
2005,Paraguay,0.36,"1,266",243
2004,Peru,0.44,"2,537",137
2005,Peru,0.46,"2,852",138
2006,Peru,0.53,"3,276",140
2007,Peru,0.57,"3,771",136
2008,Peru,0.68,"4,477",135
2005,Philippines,0.38,"1,156",162
2006,Philippines,0.4,"1,349",149
2007,Philippines,0.48,"1,624",151
2008,Philippines,0.53,"1,844",154
2009,Philippines,0.54,"1,752",156
2003,Poland,1.04,"5,675",172
2004,Poland,1.15,"6,620",164
2005,Poland,1.35,"7,963",160
2006,Poland,1.39,"8,958",160
2007,Poland,1.71,"11,157",156
2003,Romania,0.35,"2,737",253
2004,Romania,0.41,"3,481",243
2005,Romania,0.64,"4,572",215
2006,Romania,0.78,"5,681",206
2007,Romania,1.08,"7,856",194
2005,Russian Federation,0.37,"5,337",432
2006,Russian Federation,0.47,"6,947",412
2007,Russian Federation,0.57,"9,146",403
2008,Russian Federation,0.76,"11,743",366
2009,Russian Federation,0.64,"8,684",343
2001,Rwanda,0.74,202,13
2002,Rwanda,0.68,192,12
2003,Rwanda,0.62,205,12
2004,Rwanda,0.57,224,11
2005,Rwanda,0.42,266,11
2002,Senegal,0.21,511,63
2003,Senegal,0.26,642,63
2004,Senegal,0.81,732,62
2005,Senegal,0.81,771,62
2006,Senegal,0.87,810,62
2004,Seychelles,1.06,"8,482",347
2005,Seychelles,0.77,"10,661",379
2006,Seychelles,0.79,"11,440",377
2003,Slovakia,0.92,"8,514",184
2004,Slovakia,1.13,"10,410",154
2005,Slovakia,1.34,"11,377",144
2006,Slovakia,1.5,"12,809",151
2007,Slovakia,1.81,"15,608",149
2002,South Africa,0.57,"2,440",190
2003,South Africa,0.84,"3,648",182
2004,South Africa,1.11,"4,695",180
2005,South Africa,1.09,"5,235",188
2006,South Africa,1.07,"5,468",186
2000,Spain,0.57,14422,364
2005,Sri Lanka,0.23,"1,241",412
2006,Sri Lanka,0.22,"1,421",416
2005,Sudan,0.25,708,88
2006,Sudan,0.37,921,208
2007,Sudan,0.46,"1,151",197
2008,Sudan,0.41,"1,404",211
2009,Sudan,0.36,"1,294",241
2006,Swaziland,1.39,"2,349",112
2007,Swaziland,1.53,"2,562",112
2008,Swaziland,1.4,"2,432",115
2009,Swaziland,1.56,"2,533",115
2000,Sweden,0.58,27879,311
2001,Tajikistan,0.01,173,544
2002,Tajikistan,0.01,194,535
2003,Tajikistan,0.01,244,518
2004,Tajikistan,0.02,322,542
2005,Tajikistan,0.03,354,554
2007,United Republic of Tanzania,0.35,420,64
2008,United Republic of Tanzania,0.24,503,61
2009,United Republic of Tanzania,0.39,509,44
2005,Gambia,0.26,302,57
2000,Togo,0.36,253,44
2001,Togo,0.76,246,37
2002,Togo,0.63,266,41
2003,Togo,0.77,309,42
2004,Togo,0.65,353,37
2004,Tunisia,0.42,"2,832",86
2005,Tunisia,0.41,"2,888",88
2006,Tunisia,0.4,"3,057",91
2004,Turkey,0.92,"5,582",96
2005,Turkey,1.01,"6,786",97
2006,Turkey,1.04,"7,365",97
2007,Turkey,1.36,"8,865",92
2008,Turkey,1.21,"9,881",108
2000,United States of America,0.51,35081,596
2005,Uganda,0.79,314,69
2006,Uganda,0.8,335,67
2007,Uganda,1.05,388,62
2008,Uganda,1.29,456,60
2009,Uganda,1.1,490,57
2003,Ukraine,0.19,"1,049",338
2004,Ukraine,0.22,"1,367",314
2005,Ukraine,0.25,"1,829",311
2006,Ukraine,0.32,"2,303",296
2007,Ukraine,0.44,"3,069",283
2000,United Kingdom,1.18,25089,326
2001,Uruguay,1.38,"6,317",129
2002,Uruguay,1.01,"4,113",122
2003,Uruguay,0.98,"3,646",117
2004,Uruguay,1.04,"4,145",128
2005,Uruguay,1.36,"5,252",133
2003,Uzbekistan,0.05,396,267
2004,Uzbekistan,0.06,465,272
2005,Uzbekistan,0.06,547,122
2006,Uzbekistan,0.07,643,119
2007,Uzbekistan,0.11,830,61
2006,Venezuela (Bolivarian Republic of),0.25,"6,795",178
2005,Viet Nam,0.23,631,140
2006,Viet Nam,0.24,710,139
2007,Viet Nam,0.24,804,147
2008,Viet Nam,0.25,943,147
2009,Viet Nam,0.26,"1,032",149
2005,Zambia,0.19,610,136
2006,Zambia,0.28,890,142
2007,Zambia,0.33,937,141
2008,Zambia,0.44,"1,165",144
2009,Zambia,0.33,985,135
2010,Republic of Korea,0.63,,278.51
2011,Republic of Korea,0.72,,281.32
2012,Republic of Korea,0.73,,281.08
2011,Norway,2.25,,249.07
2012,Norway,2.12,,239.73
2013,Norway,2.32,,231.41
2014,Norway,2.04,,240.63
2015,Norway,1.57,,231.97
2010,Japan,3.2564,,1
2010,Taiwan,0.7247,,1
