supplysector,subsector,technology,Year,minicam-energy-input,efficiency,input-cost,logitexp,sharewt
commercial heating service,gas,gasheatpump,2020,delivered gas,1.40,7.08,-8,0.1
commercial heating service,gas,gasheatpump,2035,delivered gas,1.56,6.65,-8,1
commercial heating service,gas,gasheatpump,2050,delivered gas,1.75,6.25,-8,1
commercial heating service,gas,gasheatpump,2065,delivered gas,1.96,5.88,-8,1
commercial heating service,gas,gasheatpump,2080,delivered gas,2.19,5.53,-8,1
commercial heating service,gas,gasheatpump,2095,delivered gas,2.45,5.21,-8,1
commercial heating service,electricity,elecheatpump,2020,elect_td_bld,3.30,4.26,-8,1
commercial heating service,electricity,elecheatpump,2035,elect_td_bld,3.80,4.01,-8,1
commercial heating service,electricity,elecheatpump,2050,elect_td_bld,3.95,3.79,-8,1
commercial heating service,electricity,elecheatpump,2065,elect_td_bld,4.10,3.58,-8,1,
commercial heating service,electricity,elecheatpump,2080,elect_td_bld,4.25,3.38,-8,1,
commercial heating service,electricity,elecheatpump,2095,elect_td_bld,4.41,3.20,-8,1,
commercial cooling service,electricity,AC,2020,elect_td_bld,3.28,4.00,-8,1,
commercial cooling service,electricity,AC,2035,elect_td_bld,3.81,3.95,-8,1,
commercial cooling service,electricity,AC,2050,elect_td_bld,4.42,3.90,-8,1,
commercial cooling service,electricity,AC,2065,elect_td_bld,5.13,3.85,-8,1,
commercial cooling service,electricity,AC,2080,elect_td_bld,5.96,3.80,-8,1,
commercial cooling service,electricity,AC,2095,elect_td_bld,6.92,3.75,-8,1,
commercial water heating service,gas,gashpwaterheater,2020,delivered gas,1.40,9.03,-8,0.1,
commercial water heating service,gas,gashpwaterheater,2035,delivered gas,1.57,8.46,-8,1,
commercial water heating service,gas,gashpwaterheater,2050,delivered gas,1.75,8.33,-8,1,
commercial water heating service,gas,gashpwaterheater,2065,delivered gas,1.96,8.21,-8,1,
commercial water heating service,gas,gashpwaterheater,2080,delivered gas,2.19,8.08,-8,1,
commercial water heating service,gas,gashpwaterheater,2095,delivered gas,2.45,7.96,-8,1,
commercial water heating service,electricity,elechpwaterheater,2020,elect_td_bld,2.37,4.40,-8,1,
commercial water heating service,electricity,elechpwaterheater,2035,elect_td_bld,2.56,1.12,-8,1
commercial water heating service,electricity,elechpwaterheater,2050,elect_td_bld,2.75,1.10,-8,1
commercial water heating service,electricity,elechpwaterheater,2065,elect_td_bld,2.97,1.09,-8,1
commercial water heating service,electricity,elechpwaterheater,2080,elect_td_bld,3.20,1.08,-8,1
commercial water heating service,electricity,elechpwaterheater,2095,elect_td_bld,3.45,1.06,-8,1
commercial lighting service,electricity,solidstate,2020,elect_td_bld,0.1700,84.1,-8,0.1
commercial lighting service,electricity,solidstate,2035,elect_td_bld,0.1973,41.3,-8,1
commercial lighting service,electricity,solidstate,2050,elect_td_bld,0.2291,38.3,-8,1
commercial lighting service,electricity,solidstate,2065,elect_td_bld,0.2660,35.5,-8,1
commercial lighting service,electricity,solidstate,2080,elect_td_bld,0.3088,33.0,-8,1
commercial lighting service,electricity,solidstate,2095,elect_td_bld,0.3585,30.6,-8,1
commercial office equipment service,electricity,office,2020,elect_td_bld,1.24,44.02,-6,1
commercial office equipment service,electricity,office,2035,elect_td_bld,1.54,43.37,-6,1
commercial office equipment service,electricity,office,2050,elect_td_bld,1.72,42.72,-6,1
commercial office equipment service,electricity,office,2065,elect_td_bld,1.93,42.08,-6,1
commercial office equipment service,electricity,office,2080,elect_td_bld,2.16,41.46,-6,1
commercial office equipment service,electricity,office,2095,elect_td_bld,2.41,40.84,-6,1
commercial others service,electricity,elecother,2020,elect_td_bld,1.09,26.91,-6,1
commercial others service,electricity,elecother,2035,elect_td_bld,1.22,26.91,-6,1
commercial others service,electricity,elecother,2050,elect_td_bld,1.36,26.91,-6,1
commercial others service,electricity,elecother,2065,elect_td_bld,1.52,26.91,-6,1
commercial others service,electricity,elecother,2080,elect_td_bld,1.70,26.91,-6,1
commercial others service,electricity,elecother,2095,elect_td_bld,1.90,26.91,-6,1
