This sheet inputs the information on industrial processes and urban processes,,,,,,,,,,,,,,,,,,
Both are assumed to have base year input and output of 1,,,,,,,,,,,,,,,,,,
"Urban processes is its own final demand that grows with population, while industrial processes grows with total industrial output (logited at 0)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
8000,,,,,,,,,,,,,,,,,,
"add ""resource"" for process emissions to ""consume""",,,,1975 fillout,,,,,,,,,,,,,,
unlimited-resouce,output-unit,price-unit,market,price,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
9500,,,minicam-non-energy-input,,,,,,,,,,,,,,,
,,,input-cost,,,,,,,,,,,,,,,
supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,,,,,
urban processes,landfills,landfills,0,0,0,0,0,0,0,0,0,,,,,,,
urban processes,wastewater treatment,wastewater treatment,0,0,0,0,0,0,0,0,0,,,,,,,
urban processes,aerosols,aerosols,0,0,0,0,0,0,0,0,0,,,,,,,
urban processes,fire_exting,fire_exting,0,0,0,0,0,0,0,0,0,,,,,,,
industrial processes,adipic acid,adipic acid,0,0,0,0,0,0,0,0,0,,,,,,,
industrial processes,nitric acid,nitric acid,0,0,0,0,0,0,0,0,0,,,,,,,
industrial processes,foams,foams,0,0,0,0,0,0,0,0,0,,,,,,,
industrial processes,solvents,solvents,0,0,0,0,0,0,0,0,0,,,,,,,
industrial processes,HCFC_22_Prod,HCFC_22_Prod,0,0,0,0,0,0,0,0,0,,,,,,,
industrial processes,semiconductors,semiconductors,0,0,0,0,0,0,0,0,0,,,,,,,
industrial processes,Al_Mg,Al_Mg,0,0,0,0,0,0,0,0,0,,,,,,,
industrial processes,other industrial processes,other industrial processes,0,0,0,0,0,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
9501,,,,,,,,,,,,,,,,,,
,,,share-weight,,,,,,,,,,,,,,,
supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,,,,,
urban processes,landfills,landfills,1,1,1,1,1,1,1,1,1,,,,,,,
urban processes,wastewater treatment,wastewater treatment,1,1,1,1,1,1,1,1,1,,,,,,,
urban processes,aerosols,aerosols,1,1,1,1,1,1,1,1,1,,,,,,,
urban processes,fire_exting,fire_exting,1,1,1,1,1,1,1,1,1,,,,,,,
industrial processes,adipic acid,adipic acid,1,1,1,1,1,1,1,1,1,,,,,,,
industrial processes,nitric acid,nitric acid,1,1,1,1,1,1,1,1,1,,,,,,,
industrial processes,foams,foams,1,1,1,1,1,1,1,1,1,,,,,,,
industrial processes,solvents,solvents,1,1,1,1,1,1,1,1,1,,,,,,,
industrial processes,HCFC_22_Prod,HCFC_22_Prod,1,1,1,1,1,1,1,1,1,,,,,,,
industrial processes,semiconductors,semiconductors,1,1,1,1,1,1,1,1,1,,,,,,,
industrial processes,Al_Mg,Al_Mg,1,1,1,1,1,1,1,1,1,,,,,,,
industrial processes,other industrial processes,other industrial processes,1,1,1,1,1,1,1,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
9502,,,,,,,,,,,,,,,,,,
,,,,efficiency,,,,,,,,,,,,,,
supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,,,,
urban processes,landfills,landfills,misc emissions sources,1,1,1,1,1,1,1,1,1,,,,,,
urban processes,wastewater treatment,wastewater treatment,misc emissions sources,1,1,1,1,1,1,1,1,1,,,,,,
urban processes,aerosols,aerosols,misc emissions sources,1,1,1,1,1,1,1,1,1,,,,,,
urban processes,fire_exting,fire_exting,misc emissions sources,1,1,1,1,1,1,1,1,1,,,,,,
industrial processes,adipic acid,adipic acid,misc emissions sources,1,1,1,1,1,1,1,1,1,,,,,,
industrial processes,nitric acid,nitric acid,misc emissions sources,1,1,1,1,1,1,1,1,1,,,,,,
industrial processes,foams,foams,misc emissions sources,1,1,1,1,1,1,1,1,1,,,,,,
industrial processes,solvents,solvents,misc emissions sources,1,1,1,1,1,1,1,1,1,,,,,,
industrial processes,HCFC_22_Prod,HCFC_22_Prod,misc emissions sources,1,1,1,1,1,1,1,1,1,,,,,,
industrial processes,semiconductors,semiconductors,misc emissions sources,1,1,1,1,1,1,1,1,1,,,,,,
industrial processes,Al_Mg,Al_Mg,misc emissions sources,1,1,1,1,1,1,1,1,1,,,,,,
industrial processes,other industrial processes,other industrial processes,misc emissions sources,1,1,1,1,1,1,1,1,1,,,,,,
,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
9503,,,,,1000,divisor for industrial processes only. To keep the #s small in case they are mistakenly included in a TFE query,,,,,,,,,,,,
,,,,,calibrated-value,,,,,,,,,,,,,
supplysector,subsector,technology,period,minicam-energy-input,USA,Canada,Western Europe,Japan,Australia_NZ,Former Soviet Union,China,Middle East,Africa,Latin America,Southeast Asia,Eastern Europe,Korea,India
urban processes,landfills,landfills,1990,misc emissions sources,0.25018,0.02770,0.43447,0.12348,0.02053,0.28909,1.22329,0.13150,0.63070,0.43668,0.66617,0.12288,0.04287,0.84952
urban processes,wastewater treatment,wastewater treatment,1990,misc emissions sources,0.25018,0.02770,0.43447,0.12348,0.02053,0.28909,1.22329,0.13150,0.63070,0.43668,0.66617,0.12288,0.04287,0.84952
urban processes,aerosols,aerosols,1990,misc emissions sources,0.25018,0.02770,0.43447,0.12348,0.02053,0.28909,1.22329,0.13150,0.63070,0.43668,0.66617,0.12288,0.04287,0.84952
urban processes,fire_exting,fire_exting,1990,misc emissions sources,0.25018,0.02770,0.43447,0.12348,0.02053,0.28909,1.22329,0.13150,0.63070,0.43668,0.66617,0.12288,0.04287,0.84952
industrial processes,adipic acid,adipic acid,1990,misc emissions sources,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
industrial processes,nitric acid,nitric acid,1990,misc emissions sources,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
industrial processes,foams,foams,1990,misc emissions sources,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
industrial processes,solvents,solvents,1990,misc emissions sources,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
industrial processes,HCFC_22_Prod,HCFC_22_Prod,1990,misc emissions sources,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
industrial processes,semiconductors,semiconductors,1990,misc emissions sources,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
industrial processes,Al_Mg,Al_Mg,1990,misc emissions sources,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
industrial processes,other industrial processes,other industrial processes,1990,misc emissions sources,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
urban processes,landfills,landfills,2005,misc emissions sources,0.29641,0.03227,0.47396,0.12776,0.02458,0.28491,1.42653,0.18737,0.89384,0.55424,0.86985,0.11682,0.04829,1.09458
urban processes,wastewater treatment,wastewater treatment,2005,misc emissions sources,0.29641,0.03227,0.47396,0.12776,0.02458,0.28491,1.42653,0.18737,0.89384,0.55424,0.86985,0.11682,0.04829,1.09458
urban processes,aerosols,aerosols,2005,misc emissions sources,0.29641,0.03227,0.47396,0.12776,0.02458,0.28491,1.42653,0.18737,0.89384,0.55424,0.86985,0.11682,0.04829,1.09458
urban processes,fire_exting,fire_exting,2005,misc emissions sources,0.29641,0.03227,0.47396,0.12776,0.02458,0.28491,1.42653,0.18737,0.89384,0.55424,0.86985,0.11682,0.04829,1.09458
industrial processes,adipic acid,adipic acid,2005,misc emissions sources,0.00103,0.00123,0.00108,0.00101,0.00117,0.00089,0.00168,0.00167,0.00164,0.00124,0.00160,0.00076,0.00191,0.00183
industrial processes,nitric acid,nitric acid,2005,misc emissions sources,0.00103,0.00123,0.00108,0.00101,0.00117,0.00089,0.00168,0.00167,0.00164,0.00124,0.00160,0.00076,0.00191,0.00183
industrial processes,foams,foams,2005,misc emissions sources,0.00103,0.00123,0.00108,0.00101,0.00117,0.00089,0.00168,0.00167,0.00164,0.00124,0.00160,0.00076,0.00191,0.00183
industrial processes,solvents,solvents,2005,misc emissions sources,0.00103,0.00123,0.00108,0.00101,0.00117,0.00089,0.00168,0.00167,0.00164,0.00124,0.00160,0.00076,0.00191,0.00183
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2005,misc emissions sources,0.00103,0.00123,0.00108,0.00101,0.00117,0.00089,0.00168,0.00167,0.00164,0.00124,0.00160,0.00076,0.00191,0.00183
industrial processes,semiconductors,semiconductors,2005,misc emissions sources,0.00103,0.00123,0.00108,0.00101,0.00117,0.00089,0.00168,0.00167,0.00164,0.00124,0.00160,0.00076,0.00191,0.00183
industrial processes,Al_Mg,Al_Mg,2005,misc emissions sources,0.00103,0.00123,0.00108,0.00101,0.00117,0.00089,0.00168,0.00167,0.00164,0.00124,0.00160,0.00076,0.00191,0.00183
industrial processes,other industrial processes,other industrial processes,2005,misc emissions sources,0.00103,0.00123,0.00108,0.00101,0.00117,0.00089,0.00168,0.00167,0.00164,0.00124,0.00160,0.00076,0.00191,0.00183
,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
9504,,,,,,,,,,,,,,,,,,
add CO2 tag (avoid warning messages),,,CO2,,,,,,,,,,,,,,,
supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,,,,,
urban processes,landfills,landfills,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,,,,,
urban processes,wastewater treatment,wastewater treatment,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,,,,,
urban processes,aerosols,aerosols,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,,,,,
urban processes,fire_exting,fire_exting,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,,,,,
industrial processes,adipic acid,adipic acid,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,,,,,
industrial processes,nitric acid,nitric acid,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,,,,,
industrial processes,foams,foams,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,,,,,
industrial processes,solvents,solvents,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,,,,,
industrial processes,HCFC_22_Prod,HCFC_22_Prod,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,,,,,
industrial processes,semiconductors,semiconductors,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,,,,,
industrial processes,Al_Mg,Al_Mg,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,,,,,
industrial processes,other industrial processes,other industrial processes,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Coefficients for industrial production function,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
9505,,,,,,,,,,,,,,,,,,
,,,,,coefficient,,,,,,,,,,,,,
supplysector,subsector,technology,period,minicam-energy-input,USA,Canada,Western Europe,Japan,Australia_NZ,Former Soviet Union,China,Middle East,Africa,Latin America,Southeast Asia,Eastern Europe,Korea,India
industry,industry,industry,1975,industrial processes,1,1,1,1,1,1,1,1,1,1,1,1,1,1
industry,industry,industry,1990,industrial processes,0.000417852,0.002747906,0.000494216,0.001256253,0.006053885,0.000503351,0.00059914,0.002962822,0.002693272,0.001120806,0.001892661,0.00154769,0.005968376,0.003079893
industry,industry,industry,2005,industrial processes,0.000412748,0.002512417,0.000476484,0.001248302,0.005649461,0.000538216,0.000498191,0.002466567,0.002252098,0.001022118,0.00159356,0.001843342,0.004822538,0.002510629
industry,industry,industry,2020,industrial processes,0.000412748,0.002512417,0.000476484,0.001248302,0.005649461,0.000538216,0.000498191,0.002466567,0.002252098,0.001022118,0.00159356,0.001843342,0.004822538,0.002510629
industry,industry,industry,2035,industrial processes,0.000412748,0.002512417,0.000476484,0.001248302,0.005649461,0.000538216,0.000498191,0.002466567,0.002252098,0.001022118,0.00159356,0.001843342,0.004822538,0.002510629
industry,industry,industry,2050,industrial processes,0.000412748,0.002512417,0.000476484,0.001248302,0.005649461,0.000538216,0.000498191,0.002466567,0.002252098,0.001022118,0.00159356,0.001843342,0.004822538,0.002510629
industry,industry,industry,2065,industrial processes,0.000412748,0.002512417,0.000476484,0.001248302,0.005649461,0.000538216,0.000498191,0.002466567,0.002252098,0.001022118,0.00159356,0.001843342,0.004822538,0.002510629
industry,industry,industry,2080,industrial processes,0.000412748,0.002512417,0.000476484,0.001248302,0.005649461,0.000538216,0.000498191,0.002466567,0.002252098,0.001022118,0.00159356,0.001843342,0.004822538,0.002510629
industry,industry,industry,2095,industrial processes,0.000412748,0.002512417,0.000476484,0.001248302,0.005649461,0.000538216,0.000498191,0.002466567,0.002252098,0.001022118,0.00159356,0.001843342,0.004822538,0.002510629
