# File: A51.max_reduction.csv
# Title: NA
# Units: NA
# Source: NA 
# Description: NA
# Column types: ccciniiii 
# ----------
supplysector,subsector,stub.technology,SO2,NOx,CO,BC,OC,NMVOC
H2 central production,gas,natural gas steam reforming CCS,,23.5,15,100,100,
H2 wholesale dispensing,forecourt production,natural gas steam reforming,,23.5,15,100,100,
industrial energy use,biomass,biomass,70,59.5,80,98,96,60
industrial energy use,biomass,biomass cogen,,,,,,
industrial energy use,coal,coal,95,85,80,90,95,60
industrial energy use,coal,coal cogen,,,,,,
industrial energy use,district heat,district heat,,,,,,
industrial energy use,electricity,electricity,,,,,,
industrial energy use,gas,gas,70,46,80,50,50,60
industrial energy use,gas,gas cogen,,,,,,
industrial energy use,refined liquids,refined liquids,70,82,80,70,90,60
industrial energy use,refined liquids,refined liquids cogen,,,,,,
industrial feedstocks,coal,coal,,,,,,
industrial feedstocks,gas,gas,,,,,,
industrial feedstocks,refined liquids,refined liquids,,,,,,
N fertilizer,coal,coal,10,82,80,50,50,60
N fertilizer,gas,gas,,23.5,15,50,50,
N fertilizer,refined liquids,refined liquids,10,82,80,50,50,60
process heat cement,biomass,biomass,,,,,,
process heat cement,coal,coal,,,,,,
process heat cement,gas,gas,,,,,,
process heat cement,refined liquids,refined liquids,,,,,,
refining,biomass liquids,biodiesel,25,46,80,50,50,60
refining,biomass liquids,cellulosic ethanol,25,46,80,50,50,60
refining,biomass liquids,cellulosic ethanol CCS level 1,25,46,80,50,50,60
refining,biomass liquids,cellulosic ethanol CCS level 2,25,46,80,50,50,60
refining,biomass liquids,corn ethanol,25,46,80,50,50,60
refining,biomass liquids,FT biofuels,25,46,80,50,50,60
refining,biomass liquids,FT biofuels CCS level 1,25,46,80,50,50,60
refining,biomass liquids,FT biofuels CCS level 2,25,46,80,50,50,60
refining,biomass liquids,sugar cane ethanol,25,46,80,50,50,60
refining,coal to liquids,coal to liquids,25,46,80,50,50,60
refining,coal to liquids,coal to liquids CCS level 1,25,46,80,50,50,60
refining,coal to liquids,coal to liquids CCS level 2,25,46,80,50,50,60
refining,gas to liquids,gas to liquids,25,46,80,50,50,60
refining,oil refining,oil refining,25,46,80,50,50,60
unconventional oil production,unconventional oil production,unconventional oil production,,,,,,60
regional oil,crude oil,crude oil,95,46,80,,,60
resid heating,biomass,biomass,50,46,80,92,90,60
resid heating,coal,coal,85,64,80,90,90,60
resid heating,electricity,electricity,,,,,,
resid heating,gas,gas,50,46,80,80,50,60
resid heating,refined liquids,refined liquids,90,46,80,50,50,60
resid heating,traditional biomass,traditional biomass,0,46,80,50,75,
resid heating,district heat,district heat,,,,,,
resid cooling,electricity,electricity,,,,,,
resid cooling,gas,gas,50,46,80,80,50,60
resid others,biomass,biomass,50,46,80,92,90,60
resid others,coal,coal,85,64,80,90,90,60
resid others,electricity,electricity,,,,,,
resid others,gas,gas,50,46,80,80,50,60
resid others,refined liquids,refined liquids,90,46,80,50,50,60
resid others,traditional biomass,traditional biomass,0,46,80,50,75,
resid others,district heat,district heat,,,,,,
comm heating,biomass,biomass,50,46,80,92,90,60
comm heating,coal,coal,85,64,80,90,90,60
comm heating,electricity,electricity,,,,,,
comm heating,gas,gas,50,46,80,80,50,60
comm heating,refined liquids,refined liquids,90,46,80,50,50,60
comm heating,traditional biomass,traditional biomass,0,46,80,50,75,
comm heating,district heat,district heat,,,,,,
comm cooling,electricity,electricity,,,,,,
comm cooling,gas,gas,50,46,80,80,50,60
comm others,biomass,biomass,50,46,80,92,90,60
comm others,coal,coal,85,64,80,90,90,60
comm others,electricity,electricity,,,,,,
comm others,gas,gas,50,46,80,80,50,60
comm others,refined liquids,refined liquids,90,46,80,50,50,60
comm others,traditional biomass,traditional biomass,0,46,80,50,75,
comm others,district heat,district heat,,,,,,
transportation,refined liquids,refined liquids,93,98,97,84,88,96
transportation,coal,coal,50,,,85,50,60
transportation,gas,gas,50,,,,,60
transportation,electricity,electricity,,,,,,
regional coal,regional coal,regional coal,,,,50,50,
regional natural gas,regional natural gas,regional natural gas,,,,,,60
chemical energy use,biomass,biomass,70,59.5,80,98,96,60
chemical energy use,biomass,biomass cogen,,,,,,
chemical energy use,coal,coal,95,85,80,90,95,60
chemical energy use,coal,coal cogen,,,,,,
chemical energy use,district heat,district heat,,,,,,
chemical energy use,electricity,electricity,,,,,,
chemical energy use,gas,gas,70,46,80,50,50,60
chemical energy use,gas,gas cogen,,,,,,
chemical energy use,refined liquids,refined liquids,70,82,80,70,90,60
chemical energy use,refined liquids,refined liquids cogen,,,,,,
agricultural energy use,stationary,biomass,70,59.5,80,98,96,60
agricultural energy use,stationary,biomass cogen,,,,,,
agricultural energy use,stationary,coal,95,85,80,90,95,60
agricultural energy use,stationary,coal cogen,,,,,,
agricultural energy use,stationary,district heat,,,,,,
agricultural energy use,stationary,electricity,,,,,,
agricultural energy use,stationary,gas,70,46,80,50,50,60
agricultural energy use,stationary,gas cogen,,,,,,
agricultural energy use,mobile,refined liquids,70,82,80,70,90,60
agricultural energy use,stationary,refined liquids,70,82,80,70,90,60
agricultural energy use,stationary,refined liquids cogen,,,,,,
mining energy use,stationary,biomass,70,59.5,80,98,96,60
mining energy use,stationary,biomass cogen,,,,,,
mining energy use,stationary,coal,95,85,80,90,95,60
mining energy use,stationary,coal cogen,,,,,,
mining energy use,stationary,district heat,,,,,,
mining energy use,stationary,electricity,,,,,,
mining energy use,stationary,gas,70,46,80,50,50,60
mining energy use,stationary,gas cogen,,,,,,
mining energy use,mobile,refined liquids,70,82,80,70,90,60
mining energy use,stationary,refined liquids,70,82,80,70,90,60
mining energy use,stationary,refined liquids cogen,,,,,,
construction energy use,stationary,biomass,70,59.5,80,98,96,60
construction energy use,stationary,biomass cogen,,,,,,
construction energy use,stationary,coal,95,85,80,90,95,60
construction energy use,stationary,coal cogen,,,,,,
construction energy use,stationary,district heat,,,,,,
construction energy use,stationary,electricity,,,,,,
construction energy use,stationary,gas,70,46,80,50,50,60
construction energy use,stationary,gas cogen,,,,,,
construction energy use,mobile,refined liquids,70,82,80,70,90,60
construction energy use,stationary,refined liquids,70,82,80,70,90,60
construction energy use,stationary,refined liquids cogen,,,,,,
alumina,biomass,biomass,70,59.5,80,98,96,60
alumina,biomass,biomass cogen,,,,,,
alumina,coal,coal,95,85,80,90,95,60
alumina,coal,coal cogen,,,,,,
alumina,district heat,district heat,,,,,,
alumina,electricity,electricity,,,,,,
alumina,gas,gas,70,46,80,50,50,60
alumina,gas,gas cogen,,,,,,
alumina,refined liquids,refined liquids,70,82,80,70,90,60
alumina,refined liquids,refined liquids cogen,,,,,,
chemical feedstocks,coal,coal,,,,,,
chemical feedstocks,gas,gas,,,,,,
chemical feedstocks,refined liquids,refined liquids,,,,,,
construction feedstocks,refined liquids,refined liquids,,,,,,
iron and steel,biomass,Biomass-based,70,59.5,80,98,96,60
iron and steel,coal,BLASTFUR,95,85,80,90,95,60
iron and steel,coal,EAF with DRI,95,85,80,90,95,60
iron and steel,gas,BLASTFUR,70,46,80,50,50,60
iron and steel,gas,EAF with DRI,70,46,80,50,50,60
iron and steel,refined liquids,BLASTFUR,70,82,80,70,90,60
iron and steel,refined liquids,EAF with DRI,70,82,80,70,90,60
iron and steel,refined liquids,EAF with scrap,70,82,80,70,90,60
